LSOA code,lad_code,Year,lsoa_share,predicted_demand_points,latitude,longitude,allocation_tier,capacity_units_per_100
E01000006,E09000002,2026,0.0068893490158353,161.65445215886407,51.539131943181815,0.08806576190476191,Routine baseline coverage,0.005047510631326822
E01000007,E09000002,2026,0.0107357136836226,251.907097473418,51.53995463541666,0.07904052967171717,Routine baseline coverage,0.007865565937857397
E01000008,E09000002,2026,0.0097540805393439,228.8736631395484,51.53902243398727,0.07104537689050211,Routine baseline coverage,0.007146368271950117
E01000009,E09000002,2026,0.0101547472389914,238.27506749298507,51.54066055750488,0.0832008257918552,Routine baseline coverage,0.007439918420366317
E01000011,E09000002,2026,0.0089214683149402,209.33691551834616,51.54238435,0.08118038333333333,Routine baseline coverage,0.006536351411896937
E01000012,E09000002,2026,0.0088021168820545,206.5364055640428,51.54327801203208,0.07561059027777778,Routine baseline coverage,0.006448908080898598
E01000013,E09000002,2026,0.0094959373257699,222.816487102609,51.54248137407407,0.14796329673913045,Routine baseline coverage,0.006957238557092503
E01000014,E09000002,2026,0.0090324098179439,211.9400915003623,51.54420470833333,0.14240164882943143,Routine baseline coverage,0.006617633172275107
E01000015,E09000002,2026,0.0082895849872116,194.51015134403863,51.54414568235294,0.15584922857142858,Routine baseline coverage,0.006073399425121797
E01000016,E09000002,2026,0.0080054945130551,187.8441383640371,51.549560538461535,0.15199378758169935,Routine baseline coverage,0.005865259340294104
E01000017,E09000002,2026,0.0087973980305298,206.4256805367162,51.54932217857143,0.14647646666666667,Routine baseline coverage,0.006445450794414239
E01000018,E09000002,2026,0.0092546049924842,217.1537683122189,51.54668089285714,0.15268139583333334,Routine baseline coverage,0.006780425404624429
E01000019,E09000002,2026,0.0079538519407267,186.63237630660075,51.55916818749999,0.1207984,Routine baseline coverage,0.00582742319173237
E01000020,E09000002,2026,0.0085081817910064,199.63939453957292,51.55747657090909,0.12586612272727274,Routine baseline coverage,0.00623355529595842
E01000021,E09000002,2026,0.0102069884990824,239.5008774005236,51.55548725,0.11694655952380953,Routine baseline coverage,0.007478193200043934
E01000022,E09000002,2026,0.0084090182407479,197.31258117094816,51.554377375,0.12156663636363635,Routine baseline coverage,0.0061609027023651125
E01000024,E09000002,2026,0.008449996316699,198.2741072023869,51.551460258333336,0.12048543452380953,Routine baseline coverage,0.006190925462648973
