model,test_months,MAE_LSOA_month,RMSE_LSOA_month,WAPE,top_10pct_hotspot_recall
Rolling 3-month baseline,2025-10 to 2026-03,12.852945576580947,19.916752405820247,0.34621112126081094,0.7051963802593525
Same-month-last-year baseline,2025-10 to 2026-03,16.352416675997464,26.040808084329893,0.44047401266808045,0.6219330161395652
Ridge lag model,2025-10 to 2026-03,11.871331174010686,18.869039388246428,0.31977003653554487,0.7239947756320552
Hybrid demand model,2025-10 to 2026-03,11.871331174010686,18.869039388246428,0.31977003653554487,0.7239947756320552
