50.8349,-0.254814,E01031372,5
50.8565,-0.544342,E01031392,21
50.8655,-0.406625,E01031425,4
50.8254,-0.485501,E01031389,23
50.8173,-0.541552,E01031469,20
52.0327,0.756696,E01029889,23
51.5879,0.140471,E01000027,23
51.5856,0.128662,E01000028,7
51.5806,0.134805,E01000029,23
51.5835,0.136239,E01000030,19
51.577,0.1403,E01000031,17
51.5726,0.134748,E01000032,23
51.5739,0.144581,E01000110,17
51.5696,0.144227,E01000111,16
51.5686,0.135869,E01000112,9
51.5699,0.133055,E01000113,19
51.5559,0.169465,E01000034,13
51.5615,0.178321,E01000037,3
51.5639,0.174618,E01000038,16
51.5558,0.176923,E01000039,20
51.556,0.144762,E01000063,8
51.5587,0.138053,E01000100,4
51.5588,0.146011,E01000101,14
51.5637,0.140554,E01000109,9
51.5645,0.147732,E01000114,22
51.5641,0.141041,E01034469,7
51.5621,0.138478,E01034470,1
51.5545,0.163767,E01000033,6
51.5585,0.150034,E01000060,28
51.5612,0.153073,E01000061,31
51.5538,0.152353,E01000062,26
51.5536,0.158255,E01000064,25
51.5516,0.143533,E01000065,3
51.5519,0.132074,E01000078,23
51.5483,0.129308,E01000080,5
51.5504,0.139301,E01000081,7
51.5542,0.139458,E01000082,32
51.5536,0.126984,E01000083,7
51.5571,0.131362,E01000102,12
51.5557,0.117867,E01000021,14
51.5543,0.121417,E01000022,7
51.5504,0.110722,E01000023,7
51.5514,0.120495,E01000024,11
51.5497,0.117826,E01000025,13
51.5494,0.125855,E01000077,6
51.5509,0.110991,E01034471,4
51.5505,0.107743,E01034472,1
51.5438,0.155914,E01000015,18
51.5493,0.151301,E01000016,10
51.5491,0.146471,E01000017,4
51.5467,0.153988,E01000018,5
51.5466,0.141558,E01000079,6
51.5495,0.163762,E01000035,20
51.5449,0.163753,E01000036,25
51.5407,0.172513,E01000107,14
51.5423,0.164712,E01000108,21
51.5464,0.106279,E01000066,19
51.549,0.102494,E01000067,4
51.5434,0.0982993,E01000069,3
51.5453,0.0946299,E01000070,25
51.5394,0.0979403,E01000071,19
51.5385,0.127092,E01000057,24
51.5479,0.113965,E01000073,17
51.5451,0.120353,E01000074,11
51.5425,0.125919,E01000075,16
51.542,0.119483,E01000076,5
51.5434,0.148361,E01000013,26
51.5441,0.143653,E01000014,19
51.5366,0.142151,E01000059,10
51.5399,0.14545,E01000084,12
51.5395,0.151091,E01000085,9
51.5377,0.146785,E01000086,7
51.5369,0.164918,E01000103,9
51.5389,0.166318,E01000104,16
51.5406,0.151453,E01000105,37
51.5402,0.159262,E01000106,25
51.5401,0.0788349,E01000007,49
51.5392,0.0713173,E01000008,26
51.5375,0.0788451,E01000010,115
51.5433,0.0745665,E01000012,31
51.5384,0.0799756,E01034473,44
51.5369,0.0772486,E01034474,20
51.5389,0.0881477,E01000006,10
51.5406,0.0829212,E01000009,52
51.5432,0.0802806,E01000011,13
51.5362,0.0905047,E01000044,10
51.5422,0.088433,E01000068,23
51.5381,0.116371,E01000041,8
51.5373,0.106119,E01000042,18
51.5335,0.108085,E01000045,42
51.5365,0.119949,E01000046,17
51.5423,0.114421,E01000072,23
51.5361,0.133,E01000054,3
51.536,0.127384,E01000055,4
51.5341,0.137544,E01000056,8
51.5397,0.134037,E01000058,15
51.5312,0.139582,E01000095,81
51.5365,0.0973932,E01000040,16
51.5343,0.0981589,E01000043,17
51.535,0.0858594,E01000050,14
51.5328,0.0923046,E01000052,18
51.5239,0.103966,E01000092,24
51.5273,0.094495,E01034475,5
51.5231,0.105594,E01034476,3
51.5213,0.107614,E01034477,4
51.5226,0.113547,E01034478,6
51.5333,0.14606,E01000053,9
51.5324,0.149999,E01000087,27
51.5343,0.15385,E01000088,23
51.5313,0.159769,E01000089,15
51.5292,0.158018,E01000090,21
51.5311,0.0817,E01000048,2
51.53,0.0862324,E01000049,14
51.5343,0.0828123,E01000051,6
51.5318,0.0762591,E01033587,45
51.5336,0.080967,E01033588,1
51.5277,0.110386,E01000091,9
51.5285,0.102497,E01000093,19
51.5248,0.114891,E01000094,18
51.5324,0.117039,E01000096,21
51.5595,0.121405,E01000019,6
51.5573,0.126177,E01000020,11
51.5644,0.130314,E01000097,13
51.5591,0.12835,E01000098,21
51.5616,0.13267,E01000099,13
51.5622,0.122489,E01032580,14
51.6552,-0.203839,E01000248,15
51.6551,-0.215195,E01000249,3
51.6542,-0.199549,E01000250,43
51.6612,-0.202605,E01000254,7
51.6486,-0.203557,E01000292,4
51.6506,-0.198355,E01000293,6
51.6536,-0.165584,E01000167,6
51.6546,-0.186869,E01000246,11
51.6551,-0.179887,E01000247,7
51.6501,-0.176765,E01000251,23
51.6484,-0.187175,E01000252,2
51.6537,-0.157025,E01000166,2
51.6509,-0.159849,E01000168,1
51.6495,-0.16261,E01000169,7
51.6451,-0.152165,E01000172,4
51.6447,-0.209194,E01000285,8
51.6435,-0.213239,E01000287,10
51.6485,-0.193091,E01000288,8
51.644,-0.19612,E01000289,12
51.6445,-0.200278,E01000291,4
51.6506,-0.213317,E01000294,18
51.6424,-0.171068,E01000267,3
51.648,-0.179294,E01000268,9
51.6448,-0.183348,E01000269,5
51.6458,-0.176315,E01000270,14
51.6463,-0.165367,E01000170,18
51.6487,-0.170515,E01000171,29
51.6417,-0.156327,E01000173,3
51.6429,-0.164321,E01000174,14
51.6385,-0.161889,E01000175,9
51.6297,-0.248178,E01000228,8
51.6508,-0.237841,E01000253,9
51.632,-0.198515,E01000279,7
51.632,-0.183561,E01000280,4
51.6475,-0.215796,E01000286,6
51.6459,-0.228937,E01000290,6
51.6393,-0.175178,E01000271,1
51.6355,-0.16962,E01000272,6
51.6314,-0.172375,E01000273,16
51.6303,-0.174557,E01000281,14
51.6309,-0.178699,E01000282,12
51.6355,-0.143487,E01000115,5
51.633,-0.145317,E01000116,5
51.6293,-0.136408,E01000119,2
51.6315,-0.139179,E01000120,1
51.6272,-0.138416,E01000122,1
51.6325,-0.157268,E01000117,4
51.6309,-0.152258,E01000118,7
51.6273,-0.14825,E01000121,15
51.6229,-0.144512,E01000123,12
51.6173,-0.143572,E01000124,17
51.6238,-0.156603,E01000265,14
51.6224,-0.161219,E01000266,3
51.6272,-0.159422,E01000274,9
51.6206,-0.174299,E01000320,10
51.6173,-0.173671,E01000322,21
51.6205,-0.187862,E01000275,2
51.619,-0.183321,E01000277,18
51.6253,-0.188183,E01000283,2
51.6249,-0.175916,E01000284,18
51.6195,-0.177854,E01000321,8
51.6313,-0.268254,E01000195,14
51.6264,-0.26591,E01000229,9
51.6222,-0.26822,E01000230,5
51.6242,-0.259103,E01000231,9
51.6205,-0.26129,E01000232,14
51.6158,-0.26108,E01000233,9
51.6222,-0.273714,E01000186,7
51.6274,-0.271209,E01000187,7
51.6239,-0.283401,E01000188,7
51.6217,-0.287969,E01000189,10
51.6182,-0.281052,E01000190,3
51.6202,-0.277115,E01000191,6
