LSOA code,LSOA_name,longitude,latitude,predicted_demand_points,rolling_3_predicted_demand_points,ridge_predicted_demand_points,recent_12m_mean,uplift_vs_recent_mean,spike_z,allocation_tier,capacity_units_per_100
E01033620,Birmingham 138A,-1.8978033148270177,52.479843694634255,1659.0534897994496,1328.8666666666666,1659.0534897994496,1471.5833333333333,0.12739350345961808,1.251977945954124,Priority patrol and problem-solving,1.8529311003844529
E01010368,Walsall 030A,-1.9831084550053997,52.58609683454402,650.5662288338148,568.5666666666667,650.5662288338148,547.7666666666668,0.18767035021082212,1.8925712683507965,Priority patrol and problem-solving,0.7265916413651753
E01033615,Birmingham 135C,-1.8968924935991072,52.475138581613955,572.0873192391922,473.40000000000003,572.0873192391922,491.68333333333334,0.16352798733437957,1.7600756363255246,Priority patrol and problem-solving,0.6389416570782225
E01034743,Coventry 031E,-1.511827894401489,52.409377438088164,570.6566709166498,505.46666666666664,570.6566709166498,538.65,0.059420163216652444,0.5654761283825994,Priority patrol and problem-solving,0.6373438226582653
E01034313,Wolverhampton 020H,-2.124724872112573,52.58572552387707,498.97402416768887,395.9666666666665,498.97402416768887,467.3416666666667,0.06768572065624112,0.3889612189355028,Priority patrol and problem-solving,0.5572843150319752
E01034744,Coventry 031F,-1.5099154390757326,52.40676987040618,483.4525257491537,424.56666666666666,483.4525257491537,397.4166666666667,0.21648779806874496,1.5825501972083882,Priority patrol and problem-solving,0.5399489685099359
E01033561,Birmingham 050E,-1.8883068439179753,52.48128922500876,472.87347124280785,410.36666666666673,472.87347124280785,419.8,0.12642561039258648,1.0705884082993344,Priority patrol and problem-solving,0.5281336417419967
E01033617,Birmingham 050F,-1.8932815764206867,52.484297545249085,457.6018556138768,384.4666666666667,457.6018556138768,384.175,0.19112866691970276,1.329628264143214,Priority patrol and problem-solving,0.5110773794057025
E01009146,Birmingham 136B,-1.9134881171677967,52.47465658051838,377.7502780058278,337.8333333333333,377.7502780058278,327.7083333333333,0.15270269194403907,1.1218498431509214,Priority patrol and problem-solving,0.42189431660849136
E01009239,Birmingham 033F,-1.8912610539373316,52.52113855393108,344.73870405501003,315.1666666666667,344.73870405501003,338.6666666666667,0.01792924425691922,0.09879407777016562,Priority patrol and problem-solving,0.3850249977937582
E01034741,Coventry 028E,-1.4952249556501604,52.40812170605706,328.86449287867197,299.09999999999997,328.86449287867197,280.01666666666665,0.17444613848701374,0.7172132504772654,Priority patrol and problem-solving,0.36729572036927755
E01034312,Wolverhampton 020G,-2.1279041452493823,52.5876642766348,314.93283486287703,290.0333333333333,314.93283486287703,264.3666666666667,0.1912728591459225,0.8314609561789944,Priority patrol and problem-solving,0.3517360035933541
E01010192,Solihull 019A,-1.7809583836061202,52.41344983469862,313.4786338447893,302.26666666666665,313.4786338447893,250.33333333333334,0.252244875545097,1.3715445509318251,Priority patrol and problem-solving,0.35011186410105166
E01010109,Solihull 009A,-1.728350330733826,52.45188899775639,309.24750931849167,253.66666666666666,309.24750931849167,313.05,-0.012146592178592375,-0.06346249468062044,Priority patrol and problem-solving,0.3453862887820039
E01033562,Birmingham 087F,-1.9432526864688677,52.45095861798245,303.9752654355906,261.73333333333335,303.9752654355906,258.73333333333335,0.1748593098515483,0.9562773685020608,Priority patrol and problem-solving,0.33949792850941257
E01009580,Coventry 019A,-1.4381663889786784,52.42464374200637,288.1143671575689,261.8,288.1143671575689,257.8333333333333,0.1174442165128724,0.5753213988108232,Priority patrol and problem-solving,0.32178351973351876
E01033557,Birmingham 134B,-1.9097207798206612,52.476427932670845,285.2499036432788,246.33333333333334,285.2499036432788,243.40833333333333,0.17189867633926026,1.6253676060254403,Priority patrol and problem-solving,0.3185843139428807
E01010564,Wolverhampton 012C,-2.0850560194971095,52.59728400768996,267.7484295633274,247.23333333333332,267.7484295633274,253.15833333333333,0.05763229690244209,0.46658040361325864,Priority patrol and problem-solving,0.29903761106397936
E01034947,Birmingham 135F,-1.8892594977971444,52.472477392885736,258.1282718056219,245.0,258.1282718056219,225.85,0.14291906931867127,0.7861925318829137,Priority patrol and problem-solving,0.28829323807693835
E01009741,Dudley 022A,-2.113555441042578,52.4793801071358,254.98124071805015,217.83333333333334,254.98124071805015,229.84166666666667,0.10937779218179244,0.6442685887186252,Priority patrol and problem-solving,0.2847784437608471
E01009200,Birmingham 139A,-1.877962513073172,52.47601903655867,251.93643248286065,220.36666666666665,251.93643248286065,212.94166666666663,0.18312416929297082,0.9565900486044118,Priority patrol and problem-solving,0.28137781809785456
E01010106,Sandwell 019D,-1.9961684537920985,52.520889389311854,248.9542609171816,215.9,248.9542609171816,225.91666666666666,0.10197385872599751,0.8934318542740718,Priority patrol and problem-solving,0.27804714884897047
E01010406,Walsall 027C,-2.0527823221607435,52.582469116069795,247.37165694003778,198.9666666666667,247.37165694003778,240.475,0.028679309450203805,0.151205056862049,Priority patrol and problem-solving,0.27627960117984957
E01009341,Birmingham 066E,-1.8269936141579624,52.477668366300826,243.65832296821708,223.4,243.65832296821708,230.17499999999998,0.058578572686943,0.33184777892170647,Priority patrol and problem-solving,0.2721323256129042
E01033890,Sandwell 040B,-1.9502819081197333,52.49314593713674,237.18812073317156,237.16666666666666,237.18812073317156,233.01666666666665,0.017901955796459035,0.14757260998967536,Priority patrol and problem-solving,0.2649060131276196
E01009638,Coventry 024C,-1.5036073121954563,52.412799522200345,236.49410380641382,213.26666666666665,236.49410380641382,214.56666666666663,0.10219405222812106,1.0061742795246615,Priority patrol and problem-solving,0.2641308931235393
E01010363,Walsall 026D,-1.9947509261586502,52.58409081425359,231.87453655812,220.0,231.87453655812,217.88333333333333,0.06421419670214967,0.49365622604656384,Priority patrol and problem-solving,0.25897148152089366
E01009757,Dudley 006C,-2.0746812234449243,52.515489555066516,231.38209482233148,226.16666666666666,231.38209482233148,204.58333333333334,0.13099190951852457,1.0471363013482844,Priority patrol and problem-solving,0.2584214928599011
