allocation_tier,lsoas,predicted_demand_points,capacity_units_per_100,mean_uplift_vs_recent,share_of_lsoas,share_of_predicted_demand
Priority patrol and problem-solving,181,30030.53512545947,33.5399146786268,0.07332105307194699,0.10038824181919023,0.33539914678626803
Reserve / spike watch,19,1348.269263160613,1.5058285129219822,0.24230403650967985,0.010537992235163616,0.015058285129219822
Routine baseline coverage,1603,58157.90258635719,64.9542568084512,-0.038424739342600996,0.8890737659456461,0.649542568084512
