model,test_months,MAE_LSOA_month,RMSE_LSOA_month,WAPE,top_10pct_hotspot_recall
Rolling 3-month baseline,2025-10 to 2026-03,14.464790164540581,20.569726980772387,0.3047894056142921,0.723756906077348
Same-month-last-year baseline,2025-10 to 2026-03,18.30107228692919,26.20516073306609,0.3856241868002587,0.6224677716390423
Ridge lag model,2025-10 to 2026-03,13.463066027725775,19.552775909230785,0.2836819508378147,0.7384898710865562
Hybrid demand model,2025-10 to 2026-03,13.463066027725775,19.552775909230785,0.2836819508378147,0.7384898710865562
